name,type,value,date
河北,,326,2009-11-01
河北,,327,2010-01-01
河北,,333,2010-03-01
河北,,338,2010-05-01
河北,,341,2010-07-01
河北,,345,2010-09-01
河北,,347,2010-11-01
河北,,348,2011-01-01
河北,,352,2011-03-01
河北,,354,2011-05-01
河北,,357,2011-07-01
河北,,358,2011-09-01
河北,,363,2011-11-01
河北,,367,2012-01-01
河北,,369,2012-03-01
河北,,371,2012-05-01
河北,,374,2012-07-01
河北,,375,2012-09-01
河北,,377,2012-11-01
河北,,379,2013-01-01
河北,,381,2013-03-01
河北,,382,2013-05-01
河北,,382,2013-07-01
河北,,386,2013-09-01
河北,,391,2013-11-01
河北,,394,2014-01-01
河北,,397,2014-03-01
河北,,399,2014-05-01
河北,,399,2014-07-01
河北,,403,2014-09-01
河北,,406,2014-11-01
河北,,406,2015-01-01
河北,,408,2015-03-01
河北,,408,2015-05-01
河北,,410,2015-07-01
河北,,415,2015-09-01
河北,,417,2015-11-01
河北,,419,2016-01-01
河北,,421,2016-03-01
河北,,425,2016-05-01
河北,,428,2016-07-01
河北,,430,2016-09-01
河北,,436,2016-11-01
河北,,442,2017-01-01
河北,,449,2017-03-01
河北,,456,2017-05-01
河北,,459,2017-07-01
河北,,463,2017-09-01
河北,,470,2017-11-01
河北,,474,2018-01-01
河北,,479,2018-03-01
河北,,483,2018-05-01
河北,,485,2018-07-01
河北,,491,2018-09-01
河北,,497,2018-11-01
吉林,,25,2005-01-01
吉林,,48,2005-03-01
吉林,,68,2005-05-01
吉林,,93,2005-07-01
吉林,,119,2005-09-01
吉林,,143,2005-11-01
吉林,,156,2006-01-01
吉林,,160,2006-03-01
吉林,,162,2006-05-01
吉林,,163,2006-07-01
吉林,,167,2006-09-01
吉林,,171,2006-11-01
吉林,,171,2007-01-01
吉林,,172,2007-03-01
吉林,,182,2007-05-01
吉林,,194,2007-07-01
吉林,,203,2007-09-01
吉林,,207,2007-11-01
吉林,,207,2008-01-01
吉林,,210,2008-03-01
吉林,,214,2008-05-01
吉林,,215,2008-07-01
吉林,,218,2008-09-01
吉林,,218,2008-11-01
吉林,,222,2009-01-01
吉林,,226,2009-03-01
吉林,,231,2009-05-01
吉林,,235,2009-07-01
吉林,,243,2009-09-01
吉林,,247,2009-11-01
吉林,,249,2010-01-01
吉林,,253,2010-03-01
吉林,,256,2010-05-01
吉林,,262,2010-07-01
吉林,,265,2010-09-01
吉林,,267,2010-11-01
吉林,,269,2011-01-01
吉林,,273,2011-03-01
吉林,,275,2011-05-01
吉林,,277,2011-07-01
吉林,,279,2011-09-01
吉林,,282,2011-11-01
吉林,,284,2012-01-01
吉林,,285,2012-03-01
吉林,,287,2012-05-01
